"""Jospeh Smith - History""","""1""","""16""","""17""","""I saw a pillar of light exactly over my head, above the brightness of the sun, which descended gradually until it fell upon me. When the light rested upon me I saw two Personages, whose brightness and glory defy all description, standing above me in the air. One of them spake unto me, calling me by name and said, pointing to the other— This is My Beloved Son. Hear Him!"""
"""Doctrine and Covenants""","""1""","""37""","""38""","""Search these commandments, for they are true and faithful, and the prophecies and promises which are in them shall all be fulfilled. What I the Lord have spoken, I have spoken, and I excuse not myself; and though the heavens and the earth pass away, my word shall not pass away, but shall all be fulfilled, whether by mine own voice or by the voice of my servants, it is the same."""
"""Doctrine and Covenants""","""8""","""2""","""3""","""Yea, behold, I will tell you in your mind and in your heart, by the Holy Ghost, which shall come upon you and which shall dwell in your heart. Now, behold, this is the spirit of revelation; behold, this is the spirit by which Moses brought the children of Israel through the Red Sea on dry ground."""
"""Doctrine and Covenants""","""10""","""5""","""""","""Pray always, that you may come off conqueror; yea, that you may conquer Satan, and that you may escape the hands of the servants of Satan that do uphold his work."""
"""Doctrine and Covenants""","""14""","""7""","""""","""And, if you keep my commandments and endure to the end you shall have eternal life, which gift is the greatest of all the gifts of God."""
"""Doctrine and Covenants""","""18""","""10, 15""","""16""","""Remember the worth of souls is great in the sight of God; And if it so be that you should labor all your days in crying repentance unto this people, and bring, save it be one soul unto me, how great shall be your joy with him in the kingdom of my Father! And now, if your joy will be great with one soul that you have brought unto me into the kingdom of my Father, how great will be your joy if you should bring many souls unto me!"""
"""Doctrine and Covenants""","""19""","""16""","""19""","""For behold, I, God, have suffered these things for all, that they might not suffer if they would repent; But if they would not repent they must suffer even as I; Which suffering caused myself, even God, the greatest of all, to tremble because of pain, and to bleed at every pore, and to suffer both body and spirit—and would that I might not drink the bitter cup, and shrink— Nevertheless, glory be to the Father, and I partook and finished my preparations unto the children of men."""
"""Doctrine and Covenants""","""25""","""12""","""""","""For my soul delighteth in the song of the heart; yea, the song of the righteous is a prayer unto me, and it shall be answered with a blessing upon their heads."""
"""Doctrine and Covenants""","""58""","""26""","""27""","""For behold, it is not meet that I should command in all things; for he that is compelled in all things, the same is a slothful and not a wise servant; wherefore he receiveth no reward. Verily I say, men should be anxiously engaged in a good cause, and do many things of their own free will, and bring to pass much righteousness;"""
"""Doctrine and Covenants""","""58""","""42""","""43""","""Behold, he who has repented of his sins, the same is cforgiven, and I, the Lord, remember them no more. By this ye may know if a man repenteth of his sins—behold, he will confess them and forsake them."""
"""Doctrine and Covenants""","""59""","""9""","""10""","""And that thou mayest more fully keep thyself unspotted from the world, thou shalt go to the house of prayer and offer up thy sacraments upon my holy day; For verily this is a day appointed unto you to rest from your labors, and to pay thy devotions unto the Most High;"""
"""Doctrine and Covenants""","""64""","""9""","""11""","""Wherefore, I say unto you, that ye ought to forgive one another; for he that forgiveth not his brother his trespasses standeth condemned before the Lord; for there remaineth in him the greater sin. I, the Lord, will forgive whom I will forgive, but of you it is required to forgive all men. And ye ought to say in your hearts—let God judge between me and thee, and reward thee according to thy deeds."""
"""Doctrine and Covenants""","""64""","""23""","""""","""Behold, now it is called today until the coming of the Son of Man, and verily it is a day of sacrifice, and a day for the tithing of my people; for he that is tithed shall not be burned at his coming."""
"""Doctrine and Covenants""","""76""","""22""","""24""","""And now, after the many testimonies which have been given of him, this is the testimony, last of all, which we give of him: That he lives! For we saw him, even on the bright hand of God; and we heard the voice bearing record that he is the Only Begotten of the Father— That by him, and through him, and of him, the worlds are and were created, and the inhabitants thereof are begotten sons and daughters unto God."""
"""Doctrine and Covenants""","""82""","""3""","""""","""For of him unto whom much is given much is required; and he who sins against the greater light shall receive the greater condemnation."""
"""Doctrine and Covenants""","""82""","""10""","""""","""I, the Lord, am bound when ye do what I say; but when ye do not what I say, ye have no promise."""
"""Doctrine and Covenants""","""84""","""33""","""39""","""For whoso is faithful unto the obtaining these two priesthoods of which I have spoken, and the magnifying their calling, are sanctified by the Spirit unto the renewing of their bodies. They become the sons of Moses and of Aaron and the seed of Abraham, and the church and kingdom, and the elect of God. And also all they who receive this priesthood receive me, saith the Lord; For he that receiveth my servants receiveth me; And he that receiveth me receiveth my Father; And he that receiveth my Father receiveth my Father’s kingdom; therefore ball that my Father hath shall be given unto him. And this is according to the oath and covenant which belongeth to the priesthood."""
"""Doctrine and Covenants""","""88""","""123""","""124""","""Behold, there are many called, but few are chosen. And why are they not chosen? Because their hearts are set so much upon the things of this world, and aspire to the honors of men, that they do not learn this one lesson— That the rights of the priesthood are inseparably connected with the powers of heaven, and that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness."""
